Year,Area,EffectiveFaculties,PublicationCount,EffortPerPaper,PerPerson,contribution_per_person,ICLRPoint
2015,plan,114.88333333333331,113,1.0166666666666664,0.008849557522123894,0.4713572319744669,1.9775280898876415
2015,mobile,105.0333333333333,132,0.7957070707070705,0.007575757575757576,0.3829443351317043,1.5477374593233875
2015,inforet,158.4166666666667,222,0.7135885885885888,0.0045045045045045045,0.44660438506049444,1.3880080116956166
2015,chi,449.78333333333313,549,0.8192774741955067,0.0018214936247723133,0.43064700855967714,1.5935844773447334
2015,mod,273.8666666666666,280,0.9780952380952379,0.0035714285714285713,0.44612271908471285,1.902502434018368
2015,sec,297.75,253,1.1768774703557312,0.003952569169960474,0.4267645340050378,2.2891556616239694
2015,arch,167.48333333333335,169,0.9910256410256412,0.005917159763313609,0.39500570405015417,1.9276534848463398
2015,act,294.56666666666666,314,0.9381104033970276,0.0031847133757961785,0.6592063935724793,1.8247275483279828
2015,metrics,72.99999999999999,77,0.9480519480519478,0.012987012987012988,0.4034563013698631,1.844064942241403
2015,mlmining,361.93333333333305,704,0.5141098484848481,0.0014204545454545455,0.7182188432492177,1.0
2015,robotics,412.5166666666666,1953,0.21122205154463217,0.0005120327700972862,0.7003618431578523,0.4108500394752841
2015,ops,37.11666666666666,30,1.237222222222222,0.03333333333333333,0.29973111809609343,2.406532817584578
2015,vision,567.8666666666664,1127,0.5038745933155869,0.0008873114463176575,0.6916941934726464,0.9800913069465099
2015,hpc,108.86666666666663,150,0.7257777777777775,0.006666666666666667,0.3998877464788734,1.4117173205624123
2015,da,169.8666666666667,325,0.5226666666666667,0.003076923076923077,0.4770706613029827,1.0166439491619093
2015,comm,73.7,82,0.8987804878048781,0.012195121951219513,0.39891073270013566,1.7482265520758002
2015,soft,208.20000000000007,208,1.000961538461539,0.004807692307692308,0.3970996157540825,1.946979894299845
2015,visualization,24.166666666666664,41,0.589430894308943,0.024390243902439025,0.3549422068965517,1.1465076890592085
2015,bed,93.78333333333332,98,0.9569727891156461,0.01020408163265306,0.42987264972454253,1.8614169558042422
2015,ai,708.933333333334,1156,0.6132641291810847,0.0008650519031141869,0.650140407184502,1.1928659429272905
2015,log,119.7833333333333,134,0.8939054726368157,0.007462686567164179,0.4489341588980104,1.738744113288779
2015,graph,168.6166666666667,202,0.83473597359736,0.0049504950495049506,0.4676143323119501,1.6236529528804804
2015,csed,52.083333333333336,95,0.5482456140350878,0.010526315789473684,0.397943616,1.0663978051594274
2015,ecom,49.61666666666667,91,0.5452380952380952,0.01098901098901099,0.695328854551562,1.0605478514854099
2015,nlp,374.33333333333326,791,0.47324062368310144,0.0012642225031605564,0.7395662056990207,0.9205048786320786
2015,crypt,96.99999999999999,131,0.7404580152671755,0.007633587786259542,0.6191851546391755,1.4402719913835658
2015,bio,53.833333333333336,84,0.6408730158730159,0.011904761904761904,0.3773104643962848,1.2465682533835059
2016,plan,122.75,109,1.1261467889908257,0.009174311926605505,0.43955874541751533,2.3361234472897774
2016,mobile,88.2833333333333,84,1.050992063492063,0.011904761904761904,0.38572211440438003,2.1802195117383376
2016,inforet,154.83333333333331,207,0.7479871175523348,0.004830917874396135,0.43776955866523154,1.5516540655864177
2016,chi,489.7833333333331,671,0.7299304520615992,0.0014903129657228018,0.4546362071664344,1.5141966044053787
2016,mod,269.66666666666674,258,1.0452196382428944,0.003875968992248062,0.4251204956736711,2.1682449644553903
2016,sec,297.8666666666666,266,1.119799498746867,0.0037593984962406013,0.43545837287376904,2.32295637732108
2016,arch,161.83333333333337,173,0.9354527938342969,0.005780346820809248,0.4126014438722966,1.9405402802483454
2016,act,302.75,324,0.9344135802469136,0.0030864197530864196,0.6726006738232865,1.9383844944733808
2016,metrics,72.28333333333333,76,0.9510964912280702,0.013157894736842105,0.4367562831450312,1.9729921849566554
2016,mlmining,466.14999999999947,967,0.4820579110651494,0.001034126163391934,0.6962199764024465,1.0
2016,robotics,398.4499999999998,1568,0.25411352040816315,0.0006377551020408163,0.629119914669344,0.5271431389782131
2016,ops,50.00000000000001,47,1.0638297872340428,0.02127659574468085,0.3391380599999999,2.206850593704431
2016,vision,533.8999999999996,1058,0.5046313799621924,0.000945179584120983,0.7027878310545052,1.0468272968431636
2016,hpc,130.58333333333331,153,0.8534858387799563,0.006535947712418301,0.36603122910019154,1.7705047862280783
2016,da,158.58333333333334,307,0.5165580890336591,0.003257328990228013,0.432443640567525,1.0715685339387513
