Year,Area,EffectiveFaculties,PublicationCount,EffortPerPaper,PerPerson,contribution_per_person_not_adjusted,ICLRPoint
2015,crypt,96.99999999999999,131,0.7404580152671755,0.007633587786259542,1.9793814432989694,1.4402719913835658
2015,ai,708.933333333334,1156,0.6132641291810847,0.0008650519031141869,2.1863832988527347,1.1928659429272905
2015,bio,53.833333333333336,84,0.6408730158730159,0.011904761904761904,1.3188854489164086,1.2465682533835059
2015,plan,114.88333333333331,113,1.0166666666666664,0.008849557522123894,1.531988974321776,1.9775280898876415
2015,mlmining,361.93333333333305,704,0.5141098484848481,0.0014204545454545455,2.2711364892245367,1.0
2015,log,119.7833333333333,134,0.8939054726368157,0.007462686567164179,1.4192291637679146,1.738744113288779
2015,sec,297.75,253,1.1768774703557312,0.003952569169960474,1.8270361041141898,2.2891556616239694
2015,chi,449.78333333333313,549,0.8192774741955067,0.0018214936247723133,1.7452847667395421,1.5935844773447334
2015,da,169.8666666666667,325,0.5226666666666667,0.003076923076923077,1.9544740973312398,1.0166439491619093
2015,bed,93.78333333333332,98,0.9569727891156461,0.01020408163265306,1.5567798116225344,1.8614169558042422
2015,nlp,374.33333333333326,791,0.47324062368310144,0.0012642225031605564,2.444345503116652,0.9205048786320786
2015,robotics,412.5166666666666,1953,0.21122205154463217,0.0005120327700972862,2.441113490364026,0.4108500394752841
2015,mobile,105.0333333333333,132,0.7957070707070705,0.007575757575757576,1.7423040304665192,1.5477374593233875
2015,graph,168.6166666666667,202,0.83473597359736,0.0049504950495049506,2.0816447563506966,1.6236529528804804
2015,metrics,72.99999999999999,77,0.9480519480519478,0.012987012987012988,1.7260273972602742,1.844064942241403
2015,csed,52.083333333333336,95,0.5482456140350878,0.010526315789473684,1.2288,1.0663978051594274
2015,soft,208.20000000000007,208,1.000961538461539,0.004807692307692308,1.5946205571565797,1.946979894299845
2015,hpc,108.86666666666663,150,0.7257777777777775,0.006666666666666667,1.6901408450704232,1.4117173205624123
2015,mod,273.8666666666666,280,0.9780952380952379,0.0035714285714285713,1.7818889970788707,1.902502434018368
2015,inforet,158.4166666666667,222,0.7135885885885888,0.0045045045045045045,1.6475539189900048,1.3880080116956166
2015,vision,567.8666666666664,1127,0.5038745933155869,0.0008873114463176575,2.523479690068092,0.9800913069465099
2015,visualization,24.166666666666664,41,0.589430894308943,0.024390243902439025,1.3655172413793104,1.1465076890592085
2015,ops,37.11666666666666,30,1.237222222222222,0.03333333333333333,1.4279299506061969,2.406532817584578
2015,act,294.56666666666666,314,0.9381104033970276,0.0031847133757961785,1.7958583229602807,1.8247275483279828
2015,ecom,49.61666666666667,91,0.5452380952380952,0.01098901098901099,2.2371514947934164,1.0605478514854099
2015,comm,73.7,82,0.8987804878048781,0.012195121951219513,1.9538670284938942,1.7482265520758002
2015,arch,167.48333333333335,169,0.9910256410256412,0.005917159763313609,1.8031644939795002,1.9276534848463398
2016,crypt,107.66666666666667,132,0.8156565656565657,0.007575757575757576,1.9318885448916407,1.6920302456074225
2016,ai,737.4000000000007,1133,0.6508384819064437,0.00088261253309797,2.2701383238405186,1.35012509278887
